#,Product Name,Derived Original Price (GHS),Correct Price (fill in if wrong)
118,"Jersey Headbands(Medium Size)",14.40,
119,"Jumbo Plus Velvet Bonnet",86.54,
120,"Karité lip oil and balm combo 2-in-1 Lip Care",36.00,
121,"Keyholder Blush",30.00,
122,"Kuu Spa Tumeric Scrub",86.54,
123,"Lip Tint Water Mist",18.00,
124,"Marble 3pcs Claw Clip Set",34.72,
125,"Medix 5.5 Vitamin C+Tumeric Lotion",265.96,
126,"Microfiber Hair Towel",60.50,
127,"Mini straighteners",55.56,
128,"Miss Betty Hydrate Lip Oil",14.40,
129,"Moist Magic Lip Oil",25.00,
130,"Mooyam Collagen Wrapping Overnight Face mask",60.50,
131,"Mooyam Orange Peeling Lotion",86.54,
132,"Mooyam Turmeric & Kojic Cleansing Pads",65.00,
133,"Mouth Spray(Reduced to Clear)",35.00,
134,"Nature Spell Anti-Aging Serum",121.00,
135,"Nature Spell Glow Up Face Cream",130.91,
136,"Nature Spell Niacinamide+1% Zinc Serum",121.00,
137,"Nature Spell Under Eye Serum",121.00,
138,"Nature Spell Vitamin C Serum",121.00,
139,"Nature's Spell Vitamin c+Pineapple",173.08,
140,"Neutrogena 2% Salicylic Acid Facial Wash",106.18,
141,"Neutrogena Blackhead Eliminating Face Scrub",92.63,
142,"Neutrogena Clear & Radiant Face Wash",112.81,
143,"Neutrogena Clear And Smooth Moisturizer",111.11,
144,"Neutrogena Clear and Defend Face Scrub",92.63,
145,"Neutrogena Clear and Defend Moisturiser",129.73,
146,"Neutrogena Clear and Radiant Facial Moisturizer",111.11,
147,"Neutrogena Clear and Radiant Set",185.00,
148,"Neutrogena Oil Balancing Facial Wash",111.11,
149,"Neutrogena SOS Gel",133.33,
150,"Neutrogena Salycilic Acid Set",295.00,
151,"Oil Control Set +Free Cotton Pad",260.00,
152,"Organic Rice Body Scrub",45.71,
153,"Palmer Skin Success (Anti Dark Spot) Moisturiser",130.91,
154,"Palmer Skin Success Fade Milk",170.67,
155,"Palmer's Skin Therapy Oil",212.77,
156,"Palmers Cocoa Butter Collection",460.95,
157,"Palmers Cocoa Butter Formula Body Oil",150.77,
158,"PanOxyl Acne Foaming Wash 10%",262.61,
159,"Pearl Claw Clip",25.00,
160,"Plain Lip Gloss",18.75,
161,"RJ Magic Pink Lips Cream",44.44,
162,"Romantic Rain 2in1 Lip Gloss",30.00,
163,"Romantic Rain Clear Gloss Waterproof",15.00,
164,"Sadoer Aloe Vera Pearl Body Wash",80.36,
165,"Sadoer Centella Serum",81.67,
166,"Sadoer Collagen Sakura Elasticity Cream",10.00,
167,"Sadoer Collagen Sakura Moist Hydrate Serum",65.45,
168,"Sadoer Lemon Mouthwash(12pcs)",50.00,
169,"Sadoer Orange Pearl Body Wash",80.36,
170,"Selfie Light/Drip Light with Magnet and 5 different colours",134.44,
171,"Shein Red Skirt",170.00,
172,"Silicone Bra",84.21,
173,"Silicone Nipple Covers",70.42,
174,"Simple 10% Vitamin C+E+F Booster Serum",137.14,
175,"Simple Age Resisting Facial Wash",98.78,
176,"Simple Booster Serum 10% Niacinamide (Vitamin B3)",137.14,
177,"Simple Booster Serum 3% Hyaluronic Acid & Vitamin B5",137.14,
178,"Simple Clear Pore Scrub",113.64,
179,"Simple Hydrating Light Facial Moisturizer",101.25,
180,"Simple Moisturising Facial Wash",85.33,
181,"Simple Replenishing Rich Moisturiser",91.43,
182,"Simple Serum Set+Pouch",300.00,
183,"Skin Aqua Sunscreen (big size)",231.58,
184,"Skin Doctor Aloe Vera Gel",86.54,
185,"Skincare headband and Wristband",50.63,
186,"Soft7 Tumeric and Honey Soap",55.56,
187,"Sonar 5in1 set Hand dryer",135.87,
188,"Sonar Hair Curler",156.80,
189,"Sonar Hair Straightener",134.44,
190,"Square Octobudies",26.67,
191,"Srawberry Body Scrub",45.71,
192,"St Ives Oatmeal And Sheabutter Body wash",121.00,
193,"St. Ives Blemish Control (apricot scrub)",92.63,
194,"St. Ives Exfoliating Body Wash",121.00,
